Simulation,Optimal Results,Distinct Results
1,-100,-101
2,-100,-100
3,-100,-104
4,-100,-100
5,-100,-100
6,-100,-99
7,-100,-100
8,-100,-100
9,-100,-100
10,-100,-90
11,-100,-101
12,-100,-104
13,-100,-102
14,-100,-100
15,-100,-100
16,-100,-100
17,-100,-100
18,-100,-75
19,-100,-95
20,-100,-103
21,-100,-102
22,-100,-100
23,-100,-100
24,-100,-103
25,-100,-100
26,-100,-100
27,-100,-93
28,-100,-102
29,-100,-100
30,-100,-89
31,-100,-101
32,-100,-105
33,-100,-101
34,-100,-102
35,-100,-100
36,-100,-100
37,-100,-104
38,-100,-104
39,-100,-86
40,-100,-102
41,-100,-100
42,-100,-105
43,-100,-97
44,-100,-100
45,-100,-100
46,-100,-100
47,-100,-100
48,-100,-100
49,-100,-101
50,-100,-92
51,-100,-111
52,-100,-102
53,-100,-102
54,-100,-95
55,-100,-100
56,-100,-100
57,-100,-100
58,-100,-88
59,-100,-100
60,-100,-100
61,-100,-100
62,-100,-91
63,-100,-100
64,-100,-102
65,-100,-102
66,-100,-103
67,-100,-104
68,-100,-100
69,-100,-100
70,-100,-86
71,-100,-95
72,-100,-100
73,-100,-100
74,-100,-100
75,-100,-100
76,-100,-102
77,-100,-107
78,-100,-98
79,-100,-103
80,-100,-103
81,-100,-101
82,-100,-100
83,-100,-103
84,-100,-101
85,-100,-102
86,-100,-100
87,-100,-101
88,-100,-102
89,-100,-92
90,-100,-95
91,-100,-90
92,-100,-100
93,-100,-95
94,-100,-100
95,-100,-100
96,-100,-100
97,-100,-91
98,-100,-101
99,-100,-103
100,-100,-90
